"area","epiweek","Rt","CIlow","CIup","Rtnext","CIupnext","CIlownext","sgss_s_positive","sgss_s_negative","total_cases","probs","sgss_s_negative_corrected","sgss_s_positive_corrected","freq"
"Adur","50",1.56279277191972,1.13746737952112,2.22321661787182,1.5771044348459,2.3144002969333,1.1326178272339,14,36,56,1,36,14,72
"Amber Valley","48",0.877267543650944,0.742970975044335,1.01937216423285,1.02954756291377,1.22963697792993,0.8529803542895,98,33,231,0.384781455686959,12.6977880376696,118.30221196233,9.69296796768675
"Amber Valley","49",1.02954756291377,0.8529803542895,1.22963697792993,1.119569686109,1.4496952631587,0.866827646120869,70,44,182,0.592427672677991,26.0668175978316,87.9331824021684,22.8656294717821
"Amber Valley","50",1.119569686109,0.866827646120869,1.4496952631587,1.13080858635094,1.53100359956254,0.847147984634103,62,68,203,1,68,62,52.3076923076923
"Arun","46",0.96161024527907,0.763065102062376,1.14588389241168,0.992042793079257,1.16720124526155,0.786653296792674,62,14,168,0.862959942281296,12.0814391919381,63.9185608080619,15.8966305157081
"Arun","47",0.992042793079257,0.786653296792674,1.16720124526155,1.16614834859825,1.36984312984219,0.987256187941697,54,15,139,0.928451684884634,13.9267752732695,55.0732247267305,20.1837322801007
"Arun","48",1.16614834859825,0.987256187941697,1.36984312984219,1.39765286561191,1.69753360408459,1.15975154500544,36,13,87,0.963586048730902,12.5266186335017,36.4733813664983,25.5645278234729
"Arun","49",1.39765286561191,1.15975154500544,1.69753360408459,1.55035072648904,2.00576951561689,1.19532387679674,18,17,86,0.983999764818947,16.7279960019221,18.2720039980779,47.794274291206
"Arun","50",1.55035072648904,1.19532387679674,2.00576951561689,1.5832147309682,2.10959333965217,1.18507546957744,37,50,172,1,50,37,57.4712643678161
"Ashfield","47",0.858521620432817,0.74404778743475,0.952143801769616,0.92002882770466,1.03550041480433,0.808650620049729,88,8,269,0.241226006342642,1.92980805074114,94.0701919492589,2.01021671952202
"Ashfield","50",1.04098872436005,0.868523113980454,1.29743639469524,1.04512839660193,1.34317268785845,0.855090591478246,117,18,204,1,18,117,13.3333333333333
"Ashford","45",1.24179773714011,1.0779849611246,1.40976934691215,1.27878680842981,1.44198443168062,1.10981098148167,19,6,116,0.979773512138399,5.87864107283039,19.1213589271696,23.5145642913216
"Ashford","47",1.3983735307775,1.23620071195538,1.56212242862308,1.58388731985338,1.76741130263393,1.41536740938892,14,25,130,0.996171803634235,24.9042950908559,14.0957049091441,63.8571668996304
"Ashford","48",1.58388731985338,1.41536740938892,1.76741130263393,1.6907403785296,1.88386176272666,1.52120645417963,20,54,178,0.998119040247812,53.8984281733818,20.1015718266182,72.8357137478133
"Ashford","49",1.6907403785296,1.52120645417963,1.88386176272666,1.67307578432071,1.90871340854361,1.45658206755849,22,112,293,0.999189786981393,111.909256141916,22.090743858084,83.5143702551612
"Ashford","50",1.67307578432071,1.45658206755849,1.90871340854361,1.60896008802391,1.86471434093324,1.37078223246566,27,382,664,1,382,27,93.398533007335
"Barking and Dagenham","45",1.11693317141263,0.987787703244393,1.25151721096787,1.06695987028874,1.19602251374772,0.938650847010111,115,17,430,0.808569652894119,13.7456840992,118.2543159008,10.4133970448485
"Barking and Dagenham","46",1.06695987028874,0.938650847010111,1.19602251374772,1.11448025549977,1.24593418191094,0.986197303220289,35,6,437,0.916742619416793,5.50045571650076,35.4995442834992,13.4157456500018
"Barking and Dagenham","47",1.11448025549977,0.986197303220289,1.24593418191094,1.30198292013021,1.44239862371709,1.16756478320441,89,19,483,0.957788745753096,18.1979861693088,89.8020138306912,16.8499871938045
"Barking and Dagenham","48",1.30198292013021,1.16756478320441,1.44239862371709,1.52536787132688,1.68058552694138,1.38673675141274,150,74,488,0.97884516091827,72.434541907952,151.565458092048,32.33684906605
"Barking and Dagenham","49",1.52536787132688,1.38673675141274,1.68058552694138,1.62228054962275,1.83722961993313,1.42578690338978,147,139,596,0.990786389928911,137.719308200119,148.280691799881,48.1536042657757
"Barking and Dagenham","50",1.62228054962275,1.42578690338978,1.83722961993313,1.59752557730108,1.84242686872384,1.3676256466178,219,418,1049,1,418,219,65.6200941915228
"Barnet","45",1.08341868961837,0.940468265307563,1.24957180589371,0.964838887651646,1.11056865585269,0.826326081187289,158,8,489,0.386178724108193,3.08942979286554,162.910570207134,1.86110228485876
"Barnet","46",0.964838887651646,0.826326081187289,1.11056865585269,1.00118682677167,1.1432555087643,0.859225190856345,54,8,701,0.621223275047052,4.96978620037642,57.0302137996236,8.01578419415551
"Barnet","47",1.00118682677167,0.859225190856345,1.1432555087643,1.18542732175471,1.34819475929087,1.03303690675354,121,28,539,0.771675106992948,21.6069029958025,127.393097004197,14.501277178391
