name,epiweek,R(S-),R(S+)
"Bath and North East Somerset, Swindon and Wiltshire",Week 45,1.612860002,1.014084302
"Bath and North East Somerset, Swindon and Wiltshire",Week 46,1.173346052,0.682874408
"Bath and North East Somerset, Swindon and Wiltshire",Week 47,1.301842226,0.713115247
"Bath and North East Somerset, Swindon and Wiltshire",Week 48,1.687167716,0.871796472
"Bath and North East Somerset, Swindon and Wiltshire",Week 49,1.995082126,1.018486138
"Bath and North East Somerset, Swindon and Wiltshire",Week 50,2.170194623,1.168600899
"Bath and North East Somerset, Swindon and Wiltshire",Week 51,1.931339462,1.139896952
"Bath and North East Somerset, Swindon and Wiltshire",Week 52,2.283986121,1.337742872
"Bath and North East Somerset, Swindon and Wiltshire",Week 53,1.021286456,0.598410371
"Bath and North East Somerset, Swindon and Wiltshire",Week 54,0.83782535,0.488507093
"Bath and North East Somerset, Swindon and Wiltshire",Week 55,0.75710055,0.4614955
"Bedfordshire, Luton and Milton Keynes",Week 45,2.047095162,1.06946869
"Bedfordshire, Luton and Milton Keynes",Week 46,1.660822877,0.832395138
"Bedfordshire, Luton and Milton Keynes",Week 47,1.723673865,0.864497283
"Bedfordshire, Luton and Milton Keynes",Week 48,1.999352406,1.011109819
"Bedfordshire, Luton and Milton Keynes",Week 49,2.530651232,1.272581375
"Bedfordshire, Luton and Milton Keynes",Week 50,2.017015857,1.097313754
"Bedfordshire, Luton and Milton Keynes",Week 51,1.19308514,0.744863423
"Bedfordshire, Luton and Milton Keynes",Week 52,1.494353368,0.951426958
"Bedfordshire, Luton and Milton Keynes",Week 53,0.871046158,0.588385896
"Bedfordshire, Luton and Milton Keynes",Week 54,0.784454324,0.522743598
"Bedfordshire, Luton and Milton Keynes",Week 55,0.819587549,0.544787741
Birmingham and Solihull,Week 45,1.803681404,1.044067492
Birmingham and Solihull,Week 46,1.429785424,0.776768564
Birmingham and Solihull,Week 47,1.407694125,0.718723121
Birmingham and Solihull,Week 48,1.676322782,0.8215504
